story_num,user_story,plantuml
1,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.","@startuml 
zoning_staff_member->zoning_information:process requests 
zoning_staff_member->request:capture response communication system applicant 
@enduml"
2,"As a cook, I want to keep track of store orders so that I can schedule orders.","@startuml
actor Cook
actor System
actor Store

Cook -> System: Place Order
System -> System: Record Order Details
System -> Store: Send Order
Store -> System: Confirm Order Received

activate System

loop until all orders scheduled
    System -> System: Schedule Order
    System -> Cook: Provide Schedule
end

deactivate System

@enduml
"
3,"As a cook, I want to keep track of store orders so that I can schedule orders.","@startuml 
cook->store_order:keep track 
cook->System:schedule orders 
@enduml"
4,"As an OlderPerson, I want to use ALFRED to control the heating.","@startuml
actor OlderPerson
actor ALFRED

OlderPerson -> ALFRED: Activate Heating Control
ALFRED -> ALFRED: Authenticate User
ALFRED -> ALFRED: Retrieve User Preferences
ALFRED -> ALFRED: Check Current Temperature
ALFRED -> ALFRED: Display Heating Options

activate OlderPerson

OlderPerson -> ALFRED: Set Desired Temperature
ALFRED -> ALFRED: Adjust Heating Settings
ALFRED -> ALFRED: Confirm Settings Updated
ALFRED -> ALFRED: Activate Heating System

deactivate OlderPerson

@enduml
"
5,"As an OlderPerson, I want to use ALFRED to control the heating.","@startuml 
olderperson->System:use heating 
@enduml"
6,"As an employee, I want to see all store orders.","@startuml
actor Employee
actor System
actor Store

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: View All Store Orders
System -> System: Retrieve Orders Data
System -> Employee: Display Orders

deactivate Employee

@enduml
"
7,"As an employee, I want to see all store orders.","@startuml 
employee->System:see store_order 
@enduml"
8,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","@startuml
actor User
actor System
database DatasetRepository

User -> System: Perform Search (by title and metadata)
System -> DatasetRepository: Search Datasets
DatasetRepository -> System: Return Search Results
System -> User: Display Search Results

activate User

User -> System: Select Dataset
System -> DatasetRepository: Retrieve Dataset Details
DatasetRepository -> System: Provide Dataset Details
System -> User: Display Dataset Information

deactivate User

@enduml
"
9,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","@startuml 
data_consuming_user->System:able dataset title 
data_consuming_user->System:find datasets in 
@enduml"
10,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","@startuml
actor LibraryMember
actor System
database LibraryCatalog

LibraryMember -> System: Log In
System -> System: Authenticate Library Member
System -> LibraryCatalog: Search for Related Books
LibraryCatalog --> System: Return Search Results
System -> LibraryMember: Display Search Results

activate LibraryMember

LibraryMember -> System: Select Book
System -> LibraryCatalog: Retrieve Shelf Number
LibraryCatalog --> System: Return Shelf Number
System -> LibraryMember: Display Shelf Number

deactivate LibraryMember

@enduml
"
11,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","@startuml 
library_member->System:locate related_book shelf_number library unique_information searching_process 
@enduml"
