model,prompt_id,story_id,user_story,plantuml
llama3.1:8b,1,1,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.","```plantuml
@startuml
participant ZoningStaff as ""ZS""
participant System as ""Sys""
participant Applicant as ""App""

note right of Sys: Process Request for Zoning Information\nCapture response in system\nSend communication to applicant

ZS->>Sys: Submit request for zoning information
Sys-->>ZS: Validate request
alt Valid Request
    Sys->>ZS: Send form to complete response
    ZS->>Sys: Complete response and submit
    Sys->>Applicant: Send notification of completed response
else Invalid Request
    Sys->>ZS: Display error message
end

note right of App: Receive communication from system\nView response in the system
@enduml
```"
llama3.1:8b,1,2,"As a cook, I want to keep track of store orders so that I can schedule orders.","```plantuml
@startuml
participant Cook as ""Cook""
participant StoreOrderSystem as ""Store Order System""

Cook->>StoreOrderSystem: Submit order

alt Order is valid
  StoreOrderSystem-->Cook: Acknowledge order submission
else
  StoreOrderSystem-->Cook: Error submitting order, please try again.
endif

Note right of Cook and StoreOrderSystem: Valid orders are those that have been reviewed by the store.

@enduml
```"
llama3.1:8b,1,3,"As a cook, I want to keep track of store orders so that I can schedule orders.","```plantuml
@startuml
participant Cook as ""Cook""
participant Store as ""Store""

note right
The Cook places an order with the Store.
@endnote

Cook->>Store: Place Order
activate Store

alt Success
  Store-->Cook: Order Confirmed
else Failure
  note over Store,Cook
    The store is out of stock or has an issue with the order.
  endnote
  Store-->Cook: Order Failed
endif

deactivate Store
@enduml
```"
llama3.1:8b,1,4,"As an OlderPerson, I want to use ALFRED to control the heating.","```plantuml
@startuml
participant OlderPerson as ""Older Person""
participant Alfred as ""ALFRED""

Older Person->Alfred: Use ALFRED to control the heating

Alfred-->Older Person: Heating system controlled successfully

@enduml
```

This PlantUML code will generate a sequence diagram that shows an older person interacting with ALFRED to control the heating system. The OlderPerson participant initiates the interaction, and then the Alfred participant responds by controlling the heating system successfully."
llama3.1:8b,1,5,"As an OlderPerson, I want to use ALFRED to control the heating.","```plantuml
@startuml
participant User as ""OlderPerson""
participant ""ALFRED System""

OlderPerson->>ALFRED System: Use ALFRED to control heating
Note right of ALFRED System: Control heating logic is executed
ALFRED System->>Heating System: Send command to turn on/off heating

@enduml
```

This code will generate a sequence diagram that shows the OlderPerson interacting with the ALFRED system and ultimately controlling the heating system. The `participant` keyword is used to identify each participant in the interaction, and the arrows represent the flow of control between them."
llama3.1:8b,1,6,"As an employee, I want to see all store orders.","```plantuml
@startuml
participant Employee as ""Me""
participant StoreOrders

Me->>StoreOrders: Retrieve All Orders

StoreOrders-->>Me: Display all orders
@enduml
```"
llama3.1:8b,1,7,"As an employee, I want to see all store orders.","```plantuml
@startuml
participant Employee as E
participant OrderService as OS

E->OS: Get all orders
OS-->E: List of order objects
@enduml
```

This will create a simple sequence diagram showing an employee interacting with the `OrderService` to retrieve a list of orders."
llama3.1:8b,1,8,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","```
@startuml
participant DatasetService as DS
participant SearchEngine as SE
participant User as U

note right of U: Title and Metadata Search
U->>DS: Search by title and metadata
alt Result found
    DS->>SE: Fetch dataset details
    SE->>U: Display search results
else No result found
    DS->>U: Notify user of no match
endif

@enduml
```"
llama3.1:8b,1,9,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","```plantuml
@startuml
participant DatasetRegistry as ""Dataset Registry""
participant SearchEngine as ""Search Engine""

note right of DatasetRegistry
  Publishes datasets with title and metadata
end note

note left of SearchEngine
  Handles user search queries
end note

DatasetRegistry->>SearchEngine: Receive search query (title and/or metadata)
SearchEngine-->>DatasetRegistry: Retrieve relevant datasets from registry
DatasetRegistry-->>SearchEngine: Return list of matching datasets
SearchEngine->>User: Display search results to the user

note over DatasetRegistry, SearchEngine
  Search engine uses indexing or querying algorithms on stored data
end note
@enduml
```"
llama3.1:8b,1,10,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","```plantuml
@startuml
participant Member as ""Library Member""
participant Catalog as ""Catalog System""

Member->>Catalog: Search related books with title=""The Great Gatsby"" and author=""Fitzgerald""
Catalog->>Database: Retrieve book information from database
alt Book found in catalog
  Database-->Catalog: Return book information
  Catalog-->Member: Display related books and shelf number on the screen
else
  Catalog-->Member: Display ""Book not found"" message on the screen
endif

@enduml
```

This sequence diagram illustrates how a library member uses unique information (in this case, title and author) to search for related books in the catalog system. The catalog system then interacts with the database to retrieve book information, which is used to display results to the user. If no matches are found, an error message is displayed instead."
llama3.1:8b,1,11,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","```plantuml
@startuml
participant Member
participant LibrarySystem

Member->>LibrarySystem: Search for book
LibrarySystem->>Database: Retrieve book info
alt Book found
  Database->>LibrarySystem: Return book details and shelf number
  LibrarySystem->>Member: Display search results with shelf number
else 
  LibrarySystem->>Member: No matching books found
endif

@enduml
```"
llama3.1:8b,1,12,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","```plantuml
@startuml
participant ""API User"" as (user)
participant ""Data Service"" as (data_service)

user->>data_service: Get data from multiple datasets
activate data_service

data_service->>+database1: Retrieve data from database 1
data_service->>+database2: Retrieve data from database 2

database1-->>data_service: Return data from database 1
database2-->>data_service: Return data from database 2

data_service->>user: Return combined results
deactivate data_service

@enduml
```

This sequence diagram shows the flow of interactions between an API user and a data service, where the data service retrieves data from multiple databases to return combined results."
llama3.1:8b,1,13,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","```plantuml
@startuml
participant APIUser as ""You""
participant DataAPI as ""Data Service""

title Multi-Dataset Query Sequence Diagram

APIUser->>DataAPI: Get data from multiple datasets
DataAPI->>Database1: Retrieve data from Dataset 1
alt Dataset 2 available
    DataAPI->>Database2: Retrieve data from Dataset 2
else
    DataAPI->>Database1: Retrieve all data (no other dataset found)
end

DataAPI->>APIUser: Return combined results
@enduml
```
This sequence diagram illustrates how the API user can retrieve and combine data from multiple datasets. The `alt` block shows an alternative flow for when a secondary dataset is available, otherwise it falls back to retrieving all data from the primary dataset."
llama3.1:8b,1,14,"As a customer, I want to be able to pay the bill partially","```plantuml
@startuml
participant Customer
participant PaymentGateway
participant InvoiceService
participant Order

Customer ->> InvoiceService: Request partial payment of invoice
InvoiceService ->> Order: Check if order is eligible for partial payment
Order -->> InvoiceService: Return result of eligibility check
InvoiceService ->> PaymentGateway: Process partial payment
PaymentGateway ->> Customer: Confirm successful payment
@enduml
```

This sequence diagram shows the interactions between a customer, an invoice service, an order, and a payment gateway when making a partial payment."
llama3.1:8b,1,15,"As a customer, I want to be able to pay the bill partially","```plantuml
@startuml
participant Customer
participant Cart
participant PaymentGateway

Customer->Cart: Add item to cart
Cart->>PaymentGateway: Initiate payment
alt Partial payment allowed
  PaymentGateway-->Cart: Check if partial payments allowed
 (Customer)->Cart: Request partial payment
  Cart-->PaymentGateway: Partial payment request
else Full payment required
  PaymentGateway-->Customer: Display error message (full payment required)
endif

PaymentGateway->>Cart: Confirm payment processed
Customer->>Cart: View updated cart

@enduml
```"
