Generated by,Model,QE1,QE2,QE3,QE4,QE5,Prompt
GPT,Human,y,10.0,10.0,10.0,y,
Tool,Human,y,9.0,8.0,10.0,y,
Tool,llama3.1:8b,1,8.0,6.0,9.0,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
zoning_staff_member->zoning_information:process requests 
zoning_staff_member->request:capture response communication system applicant 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,mistral,1,7.0,6.0,8.0,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
zoning_staff_member->zoning_information:process requests 
zoning_staff_member->request:capture response communication system applicant 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-4o-mini,Y,8.0,9.0,8.0,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor ZoningStaff
actor System
actor Applicant

ZoningStaff -> System: Submit Zoning Request
System -> System: Capture Request Details
System -> ZoningStaff: Acknowledge Receipt

activate ZoningStaff

loop until request processed
    ZoningStaff -> System: Process Request
    System -> System: Update Zoning Information
    System -> Applicant: Send Communication
    Applicant -> System: Receive Communication
    System -> ZoningStaff: Notify Completion
end

deactivate ZoningStaff

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-5,Y,9.0,8.0,9.0,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor ZoningStaff
actor System
actor Applicant

ZoningStaff -> System: Submit Zoning Request
System -> System: Capture Request Details
System -> ZoningStaff: Acknowledge Receipt

activate ZoningStaff

loop until request processed
    ZoningStaff -> System: Process Request
    System -> System: Update Zoning Information
    System -> Applicant: Send Communication
    Applicant -> System: Receive Communication
    System -> ZoningStaff: Notify Completion
end

deactivate ZoningStaff

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,llama3.1:8b,1,5.0,8.0,9.0,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
zoning_staff_member->zoning_information:process requests 
zoning_staff_member->request:capture response communication system applicant 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,mistral,Y,8.0,7.0,1.0,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
zoning_staff_member->zoning_information:process requests 
zoning_staff_member->request:capture response communication system applicant 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-4o-mini,Y,9.0,8.0,9.0,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor ZoningStaff
actor System
actor Applicant

ZoningStaff -> System: Submit Zoning Request
System -> System: Capture Request Details
System -> ZoningStaff: Acknowledge Receipt

activate ZoningStaff

loop until request processed
    ZoningStaff -> System: Process Request
    System -> System: Update Zoning Information
    System -> Applicant: Send Communication
    Applicant -> System: Receive Communication
    System -> ZoningStaff: Notify Completion
end

deactivate ZoningStaff

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-5,Y,9.0,9.0,8.0,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor ZoningStaff
actor System
actor Applicant

ZoningStaff -> System: Submit Zoning Request
System -> System: Capture Request Details
System -> ZoningStaff: Acknowledge Receipt

activate ZoningStaff

loop until request processed
    ZoningStaff -> System: Process Request
    System -> System: Update Zoning Information
    System -> Applicant: Send Communication
    Applicant -> System: Receive Communication
    System -> ZoningStaff: Notify Completion
end

deactivate ZoningStaff

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
