model,method,avg_score
google/gemini-2.5-pro,ZS2,0.9557777777777777
google/gemini-2.5-pro,ZS4,0.9546666666666666
google/gemini-2.5-pro,ZS3,0.954
google/gemini-2.5-pro,ZS1,0.9506666666666667
google/gemini-2.5-pro,ZS5,0.9493333333333333
google/gemini-2.5-flash,ZS2,0.9484444444444443
gpt-5,ZS4,0.9482222222222222
google/gemini-2.5-flash,ZS4,0.9471111111111111
google/gemini-2.5-flash,ZS3,0.9455555555555556
azure/gpt-5.1,ZS3,0.945111111111111
azure/gpt-5.1,ZS2,0.945111111111111
gpt-5,ZS2,0.9444444444444444
azure/gpt-5.1,ZS4,0.9437777777777776
azure/gpt-4o,ZS4,0.9433333333333332
azure/gpt-5.1,ZS1,0.9428888888888888
azure/gpt-4.1,ZS4,0.9417777777777778
azure/gpt-4.1,ZS6,0.9415555555555555
gpt-5,ZS6,0.9413333333333332
gpt-5,ZS3,0.941111111111111
azure/gpt-5.1,ZS5,0.9408888888888889
gpt-5,ZS1,0.9404444444444444
vision/Qwen3-32b-VL,ZS3,0.9397777777777777
google/gemini-2.5-flash,ZS5,0.9395555555555555
vision/Qwen3-32b-VL,ZS2,0.9393333333333332
google/gemini-2.5-flash,ZS1,0.9388888888888889
azure/gpt-4.1-mini,ZS4,0.9384444444444443
azure/gpt-4.1-mini,ZS3,0.9377777777777777
gpt-5,ZS5,0.9377777777777777
azure/gpt-4.1,ZS1,0.9368888888888889
azure/gpt-4o,ZS6,0.9362222222222222
google/claude-sonnet-4-5,ZS5,0.9359999999999999
azure/gpt-4.1,ZS2,0.9353333333333333
google/claude-sonnet-4-5,ZS4,0.9353333333333333
azure/gpt-4.1,ZS3,0.9353333333333333
azure/gpt-4.1-mini,ZS6,0.9348888888888888
azure/gpt-4o,ZS3,0.9342222222222222
google/claude-sonnet-4-5,ZS2,0.9339999999999999
azure/gpt-4.1-mini,ZS1,0.9333333333333332
google/claude-sonnet-4-5,ZS1,0.9326666666666666
google/claude-sonnet-4-5,ZS3,0.9313333333333332
Gemma3-27b,ZS3,0.9313333333333332
azure/gpt-4.1-mini,ZS5,0.931111111111111
azure/gpt-5.1,ZS6,0.9308888888888889
google/gemini-2.5-pro,ZS6,0.9306666666666666
Ministral-3-14B-Instruct,ZS4,0.93
google/gemini-2.5-flash,ZS6,0.9295555555555555
azure/gpt-4.1-mini,ZS2,0.9293333333333332
azure/gpt-4o,ZS2,0.9271111111111111
azure/gpt-4o,ZS1,0.9266666666666665
Ministral-3-14B-Instruct,ZS3,0.9262222222222222
Ministral-3-14B-Instruct,ZS1,0.9259999999999999
gpt-5,RAG,0.9252777777777776
azure/gpt-4.1,ZS5,0.9239999999999999
vision/Qwen3-32b-VL,ZS6,0.9224444444444444
Ministral-3-14B-Instruct,ZS5,0.921111111111111
Mistral-Small-3.2-24B-Instruct,ZS3,0.9206666666666666
google/claude-haiku-4-5,ZS5,0.9202222222222222
Ministral-3-14B-Instruct,ZS2,0.9179999999999999
azure/gpt-4o,ZS5,0.9179999999999999
Mistral-Small-3.2-24B-Instruct,ZS6,0.9177777777777777
gpt-4o-mini,ZS2,0.9175555555555555
Ministral-3-14B-Instruct,RAG,0.9174999999999999
Mistral-Small-3.2-24B-Instruct,ZS2,0.9164444444444445
gpt-4o-mini,ZS3,0.9162222222222222
Mistral-Small-3.2-24B-Instruct,ZS4,0.9153333333333333
gpt-4o-mini,ZS6,0.9153333333333333
google/claude-haiku-4-5,ZS6,0.9146666666666665
google/claude-sonnet-4-5,ZS6,0.9142222222222222
gpt-4o-mini,ZS4,0.9139999999999999
Mistral-Small-3.2-24B-Instruct,ZS1,0.9104444444444444
gpt-4o-mini,ZS1,0.9028888888888887
gpt-4o-mini,ZS5,0.9002222222222221
Mistral-Small-3.2-24B-Instruct,ZS5,0.8906666666666666
Ministral-3-14B-Instruct,ZS6,0.8808888888888888
Gemma3-27b,ZS4,0.8808888888888888
Gemma3-27b,ZS5,0.8755555555555555
vision/Qwen3-32b-VL,ZS4,0.8737777777777777
gpt-4o-mini,RAG,0.8713888888888889
Granite-4.0-tiny,ZS6,0.8655555555555555
GPT-oss-120b,ZS1,0.8608888888888889
llama3.1:8b,ZS2,0.8595555555555555
vision/Qwen3-32b-VL,ZS5,0.8546666666666667
llama3.1:8b,ZS6,0.8513333333333333
mistral,ZS6,0.8462222222222222
llama3.1:8b,ZS3,0.8437777777777778
Granite-4.0-tiny,ZS2,0.836
GPT-oss-120b,ZS2,0.8344444444444444
Granite-4.0-tiny,ZS3,0.8324444444444444
mistral,RAG,0.831111111111111
azure/gpt-5.1,RAG,0.8277777777777777
azure/gpt-4o,RAG,0.8272222222222222
mistral,ZS4,0.8264444444444444
GPT-oss-120b,ZS4,0.8253333333333334
llama3.1:8b,ZS4,0.825111111111111
GPT-oss-120b,ZS3,0.8244444444444444
Mistral-Small-3.2-24B-Instruct,RAG,0.8233333333333333
GPT-oss-120b,ZS6,0.821111111111111
azure/gpt-4.1,RAG,0.8194444444444444
Granite-4.0-tiny,ZS4,0.8155555555555556
mistral,ZS1,0.811111111111111
llama3.1:8b,ZS1,0.8071111111111111
mistral,ZS3,0.8062222222222222
mistral,ZS2,0.8057777777777777
Granite-4.0-tiny,ZS1,0.8053333333333333
google/claude-haiku-4-5,RAG,0.8049999999999999
GPT-oss-120b,ZS5,0.8026666666666666
llama3.1:8b,ZS5,0.8024444444444444
Granite-4.0-tiny,ZS5,0.7991111111111111
google/claude-sonnet-4-5,RAG,0.7977777777777778
Granite-4.0-tiny,RAG,0.7897222222222222
mistral,ZS5,0.7855555555555556
vision/Qwen3-32b-VL,RAG,0.76
azure/gpt-4.1-mini,RAG,0.7525
google/gemini-2.5-flash,RAG,0.7469444444444444
GPT-oss-120b,RAG,0.7380555555555556
google/gemini-2.5-pro,RAG,0.7363888888888889
llama3.1:8b,RAG,0.7222222222222222
Gemma3-27b,ZS1,0.6331111111111111
vision/Qwen3-32b-VL,ZS1,0.6115555555555555
google/claude-haiku-4-5,ZS4,0.5479999999999999
GPT-oss-20b,ZS2,0.5013333333333333
GPT-oss-20b,ZS6,0.4706666666666666
GPT-oss-20b,RAG,0.4613888888888889
Gemma3-27b,ZS2,0.42
GPT-oss-20b,ZS1,0.4168888888888889
GPT-oss-20b,ZS3,0.04822222222222222
ollama-embedding-qwen3-06,ZS2,0.009111111111111111
ollama-embedding-qwen3-06,ZS3,0.008666666666666666
ollama-embedding-qwen3-06,ZS5,0.008222222222222221
Llama-3.1-70b,ZS5,0.0
Llama-3.1-70b,ZS6,0.0
Gemma3-27b,ZS6,0.0
Llama-3.1-70b,RAG,0.0
Llama-3.1-70b,ZS1,0.0
Llama-3.1-70b,ZS2,0.0
Llama-3.1-70b,ZS3,0.0
Llama-3.1-70b,ZS4,0.0
GPT-oss-20b,ZS5,0.0
GPT-oss-20b,ZS4,0.0
Gemma3-27b,RAG,0.0
azure/gpt-5,ZS1,0.0
Qwen3-32b,ZS2,0.0
Qwen3-32b,ZS5,0.0
Qwen3-32b,ZS1,0.0
azure/gpt-5,ZS2,0.0
google/claude-sonnet-4-6,ZS4,0.0
google/claude-sonnet-4-6,ZS5,0.0
google/claude-sonnet-4-6,ZS2,0.0
google/claude-sonnet-4-6,ZS3,0.0
google/claude-sonnet-4-6,ZS1,0.0
google/claude-haiku-4-5,ZS1,0.0
google/claude-haiku-4-5,ZS2,0.0
google/claude-haiku-4-5,ZS3,0.0
azure/gpt-5-mini,ZS2,0.0
azure/gpt-5-mini,ZS3,0.0
azure/gpt-5-mini,ZS4,0.0
azure/gpt-5-mini,ZS5,0.0
azure/gpt-5,ZS3,0.0
azure/gpt-5,ZS4,0.0
azure/gpt-5,ZS5,0.0
azure/gpt-5-mini,ZS1,0.0
Qwen3-32b,ZS4,0.0
Qwen3-32b,ZS3,0.0
minimax-m2.5,ZS5,0.0
ollama-embedding-qwen3-06,RAG,0.0
minimax-m2.5,ZS3,0.0
minimax-m2.5,ZS2,0.0
minimax-m2.5,ZS4,0.0
minimax-m2.5,ZS1,0.0
ollama-embedding-qwen3-06,ZS1,0.0
qwen3-coder-next,ZS3,0.0
qwen3-coder-next,ZS4,0.0
qwen3-coder-next,ZS1,0.0
ollama-embedding-qwen3-06,ZS6,0.0
ollama-embedding-qwen3-06,ZS4,0.0
qwen3-coder-next,ZS2,0.0
qwen3-coder-next,ZS5,0.0
