model,story_id,user_story,plantuml
llama3.1:8b,2,"As a cook, I want to keep track of store orders so that I can schedule orders.","Here is the sequence diagram for the given user story:


@startuml
actor Cook
participant StoreOrders
database OrderDatabase

Cook -> OrderDatabase: Retrieve store orders
OrderDatabase --> Cook: Confirm retrieval of store orders

Cook -> StoreOrders: Monitor store order status
StoreOrders --> Cook: Receive updates on store order status

Cook -> OrderDatabase: Update order status in database
OrderDatabase --> Cook: Confirm update of order status

@enduml"
llama3.1:8b,4,"As an OlderPerson, I want to use ALFRED to control the heating.","Here is the sequence diagram for the given user story:


```
@startuml
actor OlderPerson
actor ALFRED
device HeatingSystem

OlderPerson -> ALFRED: Command to Control Heating
ALFRED -> HeatingSystem: Send Control Signal
HeatingSystem --> ALFRED: Confirm Receipt of Signal
ALFRED --> OlderPerson: Provide Confirmation of Action
@enduml
```"
llama3.1:8b,6,"As an employee, I want to see all store orders.","Here is the sequence diagram for the given user story:


```plantuml
@startuml
employee->System:display store orders
@enduml
```

This sequence diagram captures the interaction between an employee and the system, where the employee requests to display all store orders."
llama3.1:8b,8,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","Here is a sequence diagram for the given user story:

```plantuml
@startuml
data consuming user->dataset repository:search by title 
dataset repository->dataset repository:return search results 
data consuming user->system:select dataset from results 
@enduml
```

In this sequence diagram, the `data consuming user` initiates a search for datasets in the `dataset repository` using their title. The `dataset repository` then returns a list of search results to the `data consuming user`, who can select a desired dataset from the results."
llama3.1:8b,10,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","Here is the sequence diagram for the given user story:

```plantuml
@startuml
actor LibraryMember
participant SearchEngine
participant CatalogSystem
participant ShelfLocator

LibraryMember ->> SearchEngine: Input unique book information to search
SearchEngine --> CatalogSystem: Query catalog system for related books and shelf number
CatalogSystem --> SearchEngine: Retrieve list of related books with shelf numbers
SearchEngine --> LibraryMember: Display results to library member

SearchEngine -> ShelfLocator: Get shelf information from shelf locator module
ShelfLocator --> SearchEngine: Return shelf number for selected book

@enduml
```

This sequence diagram represents the interactions between a library member, search engine, catalog system, and shelf locator to facilitate efficient searching of related books in the library."
llama3.1:8b,12,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","Here is a sequence diagram for the given user story:

```plantuml
@startuml
api_user->System:use data 
System-->data_service1: get data from dataset1
System-->data_service2: get data from dataset2
data_service1-->System:return valid_data1
data_service2-->System:return valid_data2
System-->api_user:return results
@enduml
```

This sequence diagram shows the interaction between the API User and the System, where the System uses data services to retrieve data from multiple datasets (dataset1 and dataset2) and returns the results to the API User."
llama3.1:8b,14,"As a customer, I want to be able to pay the bill partially","Here is a sequence diagram for the given user story:


@startuml
actor Customer
participant PaymentGateway
participant OrderService

Customer -> OrderService: Request partial payment of bill
OrderService --> Customer: Confirm request for partial payment

OrderService -> PaymentGateway: Process partial payment
PaymentGateway --> OrderService: Confirm successful payment

OrderService -> OrderService: Update order with partial payment
OrderService --> Customer: Notify customer of partial payment update

@enduml"
llama3.1:8b,16,"As a cook, I want to have employee data on the system including clock in and out information.","Here is the sequence diagram based on the given user story:

```plantuml
@startuml
actor Cook
database EmployeeDatabase
participant TimeTracker

Cook -> TimeTracker: Request employee data including clock in/out info
TimeTracker --> EmployeeDatabase: Retrieve employee details and time records
EmployeeDatabase --> TimeTracker: Provide valid employee data
TimeTracker --> Cook: Display employee information, clock in/out times

activate Cook
deactivate Cook

@enduml
```

This sequence diagram illustrates the interaction between a `Cook` actor requesting employee data and time records, and the system's components (`TimeTracker` participant) retrieving this data from the `EmployeeDatabase`."

azure/gpt-4.1,2,"As a cook, I want to keep track of store orders so that I can schedule orders.","@startuml
actor Cook
database StoreOrderDatabase
participant Scheduler

Cook -> StoreOrderDatabase: Retrieve list of store orders
StoreOrderDatabase --> Cook: Send store orders

Cook -> Scheduler: Schedule orders based on store orders
Scheduler --> Cook: Confirm scheduling of orders

Cook -> StoreOrderDatabase: Update order status as scheduled
StoreOrderDatabase --> Cook: Confirm update

@enduml"
azure/gpt-4.1,4,"As an OlderPerson, I want to use ALFRED to control the heating.","@startuml
actor OlderPerson
actor ALFRED
participant HeatingSystem

OlderPerson -> ALFRED: Request to control heating
ALFRED -> ALFRED: Process heating control request
ALFRED -> HeatingSystem: Send heating command
HeatingSystem --> ALFRED: Confirm action
ALFRED --> OlderPerson: Provide confirmation

@enduml"
azure/gpt-4.1,6,"As an employee, I want to see all store orders.","@startuml
employee->System: display all store orders
@enduml"
azure/gpt-4.1,8,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","@startuml
data_consuming_user->System:search dataset (by title/metadata)
System->Repository:query datasets (title/metadata)
Repository->System:return matching datasets
System->data_consuming_user:return search results
@enduml"
azure/gpt-4.1,10,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","@startuml
actor LibraryMember
participant SearchSystem
database LibraryCatalog
participant RecommendationEngine

LibraryMember -> SearchSystem: Search for book by unique information
SearchSystem -> LibraryCatalog: Query book by unique information
LibraryCatalog --> SearchSystem: Return book details (including shelf number)

SearchSystem -> RecommendationEngine: Find related books
RecommendationEngine -> LibraryCatalog: Fetch related books data
LibraryCatalog --> RecommendationEngine: Return related books with shelf numbers
RecommendationEngine --> SearchSystem: List of related books with shelf numbers

SearchSystem --> LibraryMember: Display book and related books with shelf numbers
@enduml"
azure/gpt-4.1,12,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","@startuml
api_user->System:use data dataset_1
api_user->System:use data dataset_2
api_user->System:get results from multiple datasets
@enduml"
azure/gpt-4.1,14,"As a customer, I want to be able to pay the bill partially","@startuml
actor Customer
participant Waiter
participant BillingSystem
database PaymentGateway

Customer -> Waiter: Request to pay part of the bill
Waiter -> BillingSystem: Initiate partial payment process
BillingSystem --> Waiter: Show outstanding amount and options

Waiter -> Customer: Present amount to pay
Customer -> Waiter: Select amount and payment method

Waiter -> BillingSystem: Submit partial payment details
BillingSystem -> PaymentGateway: Process partial payment

PaymentGateway --> BillingSystem: Confirm payment success
BillingSystem --> Waiter: Update outstanding amount

Waiter -> Customer: Provide payment confirmation and remaining balance

@enduml"
azure/gpt-4.1,16,"As a cook, I want to have employee data on the system including clock in and out information.","@startuml
actor Cook
participant EmployeeSystem
database EmployeeDatabase

Cook -> EmployeeSystem: Submit employee data (including clock in/out info)
EmployeeSystem -> EmployeeDatabase: Store employee data
EmployeeDatabase --> EmployeeSystem: Confirm data storage
EmployeeSystem --> Cook: Acknowledge employee data recorded

activate Cook
deactivate Cook

@enduml"
azure/gpt-4.1,18,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","@startuml
actor PlanReviewStaff
actor System
actor Applicant

PlanReviewStaff -> System: Submit Plan Review Request
System -> System: Capture Plan Details
System -> PlanReviewStaff: Acknowledge Receipt

activate PlanReviewStaff

loop until review completed
    PlanReviewStaff -> System: Review Plans
    System -> System: Check Compliance

    alt Approved
        System -> PlanReviewStaff: Notify Approval
        PlanReviewStaff -> System: Record Conditions/Clearances (if any)
        System -> Applicant: Send Approval Notification
    else Corrections Needed
        System -> PlanReviewStaff: Notify Corrections Needed
        PlanReviewStaff -> System: Record Corrections
        System -> Applicant: Send Corrections Notification
    else Failed/Denied
        System -> PlanReviewStaff: Notify Failure/Denial
        PlanReviewStaff -> System: Record Reasons
        System -> Applicant: Send Failure/Denial Notification
    end

end

deactivate PlanReviewStaff

@enduml"
azure/gpt-4.1,20,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","@startuml
patron->System:request previous names and publication date range of report/dataset
System->System:retrieve historical versions info (names, first & last publication dates)
System->patron:provide previous name(s) and publication date range
@enduml"
azure/gpt-4.1,22,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","@startuml
user->System:scope search to specific language(collections/objects/components)
@enduml"
